id,error,round,observed_in,layer_that_would_catch,form,evidence_path,source_quote,detected_on_replay,replay_scope_and_limit
1,wrong threshold-specific initial direction counts,HSP90,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_A_9ff587f6/answer.md,D,feedback,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_A_9ff587f6/answer.md:8,- 对闭合起始组：按 5 点阈值，11/20 条首先为 CLOSED_CONSENSUS，9/20 条首先为 OPEN_CONSENSUS；有 4/20 条记录了后来相反方向的 persistent departure candidate（ES06、ES14、ES15、ES16、ES17 中的具体计数需注意阈值依赖：5 点时 ES06、ES14、ES15、ES16、ES17 共 5/20；20 点时 ES14、ES15、ES16、ES17 共 4/20；50 点时无 opposite candidate，但 ES14、ES15 已以 OPEN_CONSENSUS 作为首个 50 点方向）。因此最保守的可复核表述是：闭合组存在多条先持续闭合、后持续开放方向的轨迹，而开放组没有相应的相反方向事件。,NOT_RUN,number presence alone cannot detect wrong threshold linkage
2,4/20 vs5/20 internal inconsistency,HSP90,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_A_9ff587f6/answer.md,D,feedback,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_A_9ff587f6/answer.md:8,- 对闭合起始组：按 5 点阈值，11/20 条首先为 CLOSED_CONSENSUS，9/20 条首先为 OPEN_CONSENSUS；有 4/20 条记录了后来相反方向的 persistent departure candidate（ES06、ES14、ES15、ES16、ES17 中的具体计数需注意阈值依赖：5 点时 ES06、ES14、ES15、ES16、ES17 共 5/20；20 点时 ES14、ES15、ES16、ES17 共 4/20；50 点时无 opposite candidate，但 ES14、ES15 已以 OPEN_CONSENSUS 作为首个 50 点方向）。因此最保守的可复核表述是：闭合组存在多条先持续闭合、后持续开放方向的轨迹，而开放组没有相应的相反方向事件。,NOT_RUN,requires linking same metric and threshold
3,50point opposite candidate falsely zero,HSP90,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_A_9ff587f6/answer.md,D,feedback,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_A_9ff587f6/answer.md:8,- 对闭合起始组：按 5 点阈值，11/20 条首先为 CLOSED_CONSENSUS，9/20 条首先为 OPEN_CONSENSUS；有 4/20 条记录了后来相反方向的 persistent departure candidate（ES06、ES14、ES15、ES16、ES17 中的具体计数需注意阈值依赖：5 点时 ES06、ES14、ES15、ES16、ES17 共 5/20；20 点时 ES14、ES15、ES16、ES17 共 4/20；50 点时无 opposite candidate，但 ES14、ES15 已以 OPEN_CONSENSUS 作为首个 50 点方向）。因此最保守的可复核表述是：闭合组存在多条先持续闭合、后持续开放方向的轨迹，而开放组没有相应的相反方向事件。,NOT_RUN,source50point count1 not0
4,RMP special-method prerequisite transferred,HSP90,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_B_b909c96b/answer.md,C,card,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_B_b909c96b/answer.md:24,资料清单明确缺少原始坐标数组和完整的NOE restraint计算输入（`SOURCE_INVENTORY.json:66–71`）。因此不能完成NOE forward calculation，也不能验证RMP restraint、prior ensemble、fit objective和model uncertainty的完整链条；相关ensemble支持应保持`PRIOR_OR_MODEL_UNRESOLVED`，不能把表格结果当作外部验证。类似地，不能从这些表估计平衡占比、微秒外速率或因果机制。论文的NMR毫秒交换和约3–4%闭合激发态占比是作者报告，不是本次MD表格重算结果（原文`360–369`）。,NOT_RUN,method-family scoping candidate
5,RMP prerequisite transferred in another output,HSP90,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_B_8813dc0f/answer.md,C,card,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_B_8813dc0f/answer.md:39,- 当前包不足以完整审计候选 NMR ensemble 的 RMP restraint、prior ensemble、fit objective 和 model uncertainty，因此不对跨来源 ensemble 支持作强结论（`PRIOR_OR_MODEL_UNRESOLVED`）。MD 与 NMR 的 observable、空间支持、时间平均和逆模型语义不能合并为单一指标（`ESTIMAND_OR_SUPPORT_MISMATCH`/`BRIDGE_UNAVAILABLE`）。MD 读数的测量/模型不确定性也不完整，故不报告精确误差条（`UNCERTAINTY_UNRESOLVED`）。,NOT_RUN,"same failure class, distinct output; not independent source"
6,endpoint bins called regular,HSP90,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_B_b909c96b/answer.md,D,template,autoresearch/tasks/dynamics_atlas_hsp90_first_round_v3_20260910/runs/HSP90_Q01_B_b909c96b/answer.md:18,50-ns箱是箱内中位数分类，不能恢复连续run或作为独立事件（`FIELD_DEFINITIONS.md:19`）。描述性检查显示闭合起始组420个常规箱中169 CLOSED、143 OPEN、108 CONFLICT；开放起始组420个箱全部OPEN。箱不是独立统计单位。,NOT_RUN,minor wording only; no core scientific count error
7,A1 analyzes physically mismatched wrapped distances,DHFR,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_07534f46/answer.md,B,code,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_07534f46/answer.md:25,同一尾部中，WT的N18-O3P（18.14→12.16 Å；<6 Å约9.2→15.7%）和W22-O3P（19.41→11.83 Å；约0.9→33.1%）也支持4′-DTMP更近；但L28R中N18总平均约19.10→19.69 Å、W22约21.75→20.09 Å，不能概括为整个N18/M20/W22环在两种背景都一致增强。,YES,E1a defect1 source comparison; Agent missed input defect
8,A1 N18 near-distance percentage mistranscription,DHFR,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_07534f46/answer.md,D,feedback,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_07534f46/answer.md:25,同一尾部中，WT的N18-O3P（18.14→12.16 Å；<6 Å约9.2→15.7%）和W22-O3P（19.41→11.83 Å；约0.9→33.1%）也支持4′-DTMP更近；但L28R中N18总平均约19.10→19.69 Å、W22约21.75→20.09 Å，不能概括为整个N18/M20/W22环在两种背景都一致增强。,NOT_RUN,originaltable9.09→44.24%; separate from upstream physical defect
9,A1 W22 near-distance percentage mistranscription,DHFR,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_07534f46/answer.md,D,feedback,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_07534f46/answer.md:25,同一尾部中，WT的N18-O3P（18.14→12.16 Å；<6 Å约9.2→15.7%）和W22-O3P（19.41→11.83 Å；约0.9→33.1%）也支持4′-DTMP更近；但L28R中N18总平均约19.10→19.69 Å、W22约21.75→20.09 Å，不能概括为整个N18/M20/W22环在两种背景都一致增强。,NOT_RUN,originaltable1.92→80.30%
10,A2 interprets erroneous large-distance tail as switching,DHFR,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_ef5da470/answer.md,B,code,autoresearch/tasks/dynamics_atlas_adk_plain_agent_v1_20260910/runs/DHFR_Q01_A_ef5da470/answer.md:62,3. 距离结果显示明显的长尾/构象切换；均值和 <6 Å 比例有时给出不同印象，说明“接触增强”依赖于采用均值还是状态占有率。,YES,E1a detects underlying input mismatch; downstream interpretation prevention untested
