paper_id	paper_title	rule_count	rule_ids	source_locators	source_classification	transfer_scope
agam_2023_smfret_reliability	Agam 2023 protein smFRET reliability	3	C002-RULE-001;C002-RULE-002;C002-RULE-003	AGAM-S01; AGAM-S03; AGAM-S04; AGAM-S06; AGAM-S04; AGAM-S05; AGAM-S06	reasonable_inference_from_paper	not transferable without protein-specific probe context
bengtsen_2020_multimodal_nanodisc	Bengtsen 2020 multimodal nanodisc	3	C007-RULE-001;C007-RULE-002;C007-RULE-003	BEN-S02; BEN-S03; BEN-S04; BEN-S03; BEN-S05	paper_states_plus_bounded_project_use	NMR/SAXS/SANS/MD example; no common distance column
dimura_2020_fret_assisted_modeling	Dimura 2020 FRET-assisted modeling	3	C003-RULE-001;C003-RULE-002;C003-RULE-003	DIM-S02; DIM-S03; DIM-S04; DIM-S03; DIM-S04; DIM-S05; DIM-S03; DIM-S05	paper_states_plus_bounded_project_use	FRET-guided design context; not a universal scalar score
fuertes_2017_saxs_smfret_non_equivalence	Fuertes 2017 SAXS-smFRET non-equivalence	3	C005-RULE-001;C005-RULE-002;C005-RULE-003	FUE-S01; FUE-S02; FUE-S04; FUE-S02; FUE-S03; FUE-S04; FUE-S03; FUE-S04; FUE-S05	paper_states_plus_bounded_project_use	SAXS-smFRET example; not a universal protein rule
hellenkamp_2018_smfret_benchmark	Hellenkamp 2018 smFRET benchmark	3	C001-RULE-001;C001-RULE-002;C001-RULE-003	HEL-S01; HEL-S02; HEL-S05; HEL-S01; HEL-S03; HEL-S05; HEL-S03; HEL-S04	paper_states_plus_bounded_project_use	measurement contract; DNA precision does not automatically transfer to protein
hoff_2024_emmivox_cryoem	Hoff 2024 EMMIVox cryo-EM	3	C008-RULE-001;C008-RULE-002;C008-RULE-003	HOF-S02; HOF-S03; HOF-S04; HOF-S03; HOF-S04; HOF-S05; HOF-S03; HOF-S05	paper_states_plus_bounded_project_use	cryo-EM-specific source adapter
peter_2022_deer_smfret_crossvalidation	Peter 2022 DEER-smFRET cross-validation	3	C009-RULE-001;C009-RULE-002;C009-RULE-003	PET-S01; PET-S02; PET-S05; PET-S03; PET-S04; PET-S03; PET-S05	paper_states_plus_bounded_project_use	tested protocols/datasets only
sanabria_2020_transient_states	Sanabria 2020 transient-state evidence ladder	3	C010-RULE-001;C010-RULE-002;C010-RULE-003	SAN-S02; SAN-S03; SAN-S04; SAN-S03; SAN-S04; SAN-S04; SAN-S05	paper_states_plus_bounded_project_use	state existence, population, timescale and function remain separate
shevchuk_2017_bayesian_saxs_refinement	Shevchuk 2017 Bayesian SAXS refinement	3	C006-RULE-001;C006-RULE-002;C006-RULE-003	SH-S02; SH-S04; SH-S02; SH-S05; SH-S03; SH-S05	paper_states_plus_bounded_project_use	state-number and prior choices remain explicit
steffen_2021_fretraj	Steffen 2021 FRETraj	3	C011-RULE-001;C011-RULE-002;C011-RULE-003	STF-S01; STF-S02; STF-S01; STF-S03; STF-S02; STF-S03	paper_states_plus_bounded_project_use	DNA demo does not validate protein dynamics
wankowicz_bonomi_2026_ensemble_prediction	Wankowicz and Bonomi 2026 ensemble infrastructure	3	C012-RULE-001;C012-RULE-002;C012-RULE-003	WAN-S02; WAN-S03; WAN-S04; WAN-S03; WAN-S05; WAN-S04; WAN-S05	paper_states_plus_bounded_project_use	infrastructure perspective, not a completed benchmark
