id,short_title_zh,paper,doi,question_zh,paper_target_zh,locator,rationale_zh,case_type,data_required_zh,data_status,data_urls,calculation_zh,comparison_zh,rules_probe_zh,proposed_capability_zh,current_operator_match,operator_gap_zh,priority_zh,priority_reason_zh,execution_status,dependency_group
Q01,HSP90 开闭初态与亚稳性,"Henot et al. 2022, Visualizing the transiently populated closed-state of human HSP90 ATP binding domain",10.1038/s41467-022-35399-8,在无配体的人 HSP90α NTD 中，从闭合 ATP-lid 起始的轨迹是否比开放起始轨迹更容易离开原有构象，并出现闭合到开放的转变？,开放起始轨迹较稳定；闭合起始组出现持续闭合、转为开放及偏离两态三种行为，支持闭合态为亚稳态。不能用这些非遍历轨迹直接估计平衡占比。,Fig. 4a–g; Results: The ATP-lid closed state is a metastable excited state,直接复算同一蛋白两个初始构象的动力学差异，检验系统能否从轨迹和实验距离约束共同形成结构结论。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,各20条开放/闭合起始、每条1 μs的已发表轨迹、拓扑、初始构象及状态特异 NOE 接触阈值；保留每条独立重复身份。,ARTICLE_DEPOSIT_VERIFIED_PAYLOAD_UNRESOLVED,https://doi.org/10.5281/zenodo.6606744 | https://www.rcsb.org/structure/8B7I | https://www.rcsb.org/structure/8B7J | https://bmrbig.org/released/bmrbig44,按论文刚性骨架对齐；逐帧计算 lid RMSD、开放和闭合特异 NOE 超限量；依据双指标分类各轨迹，统计首次离开时间、终态比例及按轨迹重采样的不确定性。,比较两起始组的状态保持与转变方向，并与 Fig. 4 的分组和分布比较；不以总体帧数当重复数，不强行重现平衡速率。,能否触发状态定义、对齐区域、重复单位及非平衡采样限制；距离/RMSD计算完成后能否形成有边界的亚稳态判断。,轨迹对齐、RMSD、NOE超限、按轨迹统计,RELATED_CASE_BOUND_COMPONENT_NOT_FULL_QUESTION,已有同论文HSP90描述性分析组件，但当前精确Operator不负责重建本题全部计算，也不允许据其输出平衡、速率或机制结论。须先核验原始输入、方法和本题输出关系。,首批本地核对,已有 HSP90 同论文分析与精确诊断入口可定位，先核验输入同源性及旧结果覆盖范围。,NOT_RUN,10.1038/s41467-022-35399-8
Q02,HSP90 交换态占比与速率,"Henot et al. 2022, Visualizing the transiently populated closed-state of human HSP90 ATP binding domain",10.1038/s41467-022-35399-8,HSP90α NTD 的多磁场 CPMG 数据是否支持共享的低占比交换态，其占比和交换速率能否复现论文的室温结果？,两态全局拟合得到室温约3–4%的少数态及约2.5 kHz交换速率；将这个交换态认作闭合 lid 是综合结构证据后的解释。,Fig. 5b–c; Methods: Relaxation dispersion data analysis,这是从真实测量曲线推断隐含动力学参数的检验，比检查论文有没有报告速率更贴近 operator 的科学能力。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,各探针、多磁场、多温度 CPMG 强度/参考强度或 R2eff 曲线、误差、频率、温度与探针注释；拟合配置。,ARTICLE_DEPOSIT_VERIFIED_PAYLOAD_UNRESOLVED,https://bmrbig.org/released/bmrbig44 | https://www.nature.com/articles/s41467-022-35399-8,由强度计算 R2eff；拟合无交换与两态交换模型，再做跨探针全局拟合、参数轮廓和按探针剔除检查；输出 kex、少数态占比和区间。,与 Fig. 5 的占比/速率及温度依赖比较；参数相近但模型不可辨识时不给通过。,拟合模型、共享参数、噪声下限和可辨识性是否有可执行判据；能否避免把动力学少数态自动等同于结构闭合态。,CPMG 强度预处理与全局交换模型拟合,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1038/s41467-022-35399-8
Q03,Sic1 集合对独立 FRET 的预测,"Gomes et al. 2020, Conformational Ensembles of an Intrinsically Disordered Protein Consistent with NMR, SAXS, and Single-Molecule FRET",10.1021/jacs.0c02088,对 Sic1 和磷酸化 pSic1，只用 SAXS 得到的构象集合与加入 PRE 后的集合，哪一种能预测未参与拟合的 smFRET 效率？,SAXS+PRE 约束的集合能够同时匹配 smFRET 等验证观测，解释单独 SAXS 与按聚合物假设解释 FRET 时的表观不一致。,Table 1; Results section 2.2; Discussion; Methods 5.4,测试跨技术额外计算是否真正改善独立预测；拟合数据和验证数据的区分有明确结果可查。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,SAXS q/I/σ、PRE约束、两种条件的原始构象池及选择后的集合或权重、染料参数、独立FRET效率/曲线及误差。,ARTICLE_AND_SI_PRESENT_FULL_NUMERIC_BUNDLE_UNRESOLVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC9987321/ | https://bmrb.io/data_library/summary/index.php?bmrbId=16657 | https://bmrb.io/data_library/summary/index.php?bmrbId=16659,冻结FRET为验证集；用已有SAXS-only和SAXS+PRE集合进行染料可及体积计算，再按逐构象效率平均预测FRET；比较两类集合预测误差及5个独立集合的变异。若只有起始池则按论文重做选择。,对两种磷酸化条件报告预测效率与实测效率差及传播误差，检查加入PRE是否使独立FRET预测进入论文误差范围。,是否要求观测算子、正确的非线性平均顺序、独立验证以及模型误差；是否把训练拟合改善误当独立证据。,SAXS/PRE集合处理与FRET前向预测,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1021/jacs.0c02088
Q04,Sic1 突变与磷酸化引起的伸展,"Gomes et al. 2020, Conformational Ensembles of an Intrinsically Disordered Protein Consistent with NMR, SAXS, and Single-Molecule FRET",10.1021/jacs.0c02088,Y14A 突变是否使 Sic1 更伸展，且磷酸化后的 Y14A 是否进一步伸展？这些差异在FRET校准误差下是否仍可分辨？,Y14A 及其磷酸化样本的FRET效率向较低值移动，支持端到端距离更伸展，并为Y14长程接触的构象假设提供验证。,Fig. 5; Results immediately preceding Discussion; SI Table S9,通过突变与磷酸化的四组对比检验构象预测，接近可被实验干预反驳的生物学问题。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,Sic1/pSic1和两者Y14A的逐burst光子/FRET数据或未拟合数字直方图、样本/日重复、校准参数、磷酸化质谱组成。,PUBLISHED_FIGURE_AND_SI_PRESENT_RAW_FRET_UNRESOLVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC9987321/,统一burst过滤和校准后拟合各组FRET效率分布；以独立实验重复为单位计算突变、磷酸化及交互差值，并传播校准误差；检测是否存在亚群或组成变化。,比较 Fig. 5 的移动方向与 Table S9 的幅度；输出可分辨性及无法排除的磷酸化组成差异。,是否区分构象读出、接触机制解释及结合活性；能否在有干预时处理混合磷酸化组成与系统误差。,FRET分布拟合与干预效应误差传播,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1021/jacs.0c02088
Q05,nanodisc 椭圆集合解释多技术观测,"Bengtsen et al. 2020, Structure and dynamics of a nanodisc by integrating NMR, SAXS and SANS experiments with molecular dynamics simulations",10.7554/eLife.56518,ΔH5–DMPC nanodisc 能否通过同一构象集合同时解释SAXS和NOE，并由互相转向的椭圆构象解释平均近圆形结构？,SAXS与NOE整合后的异质集合保留椭圆构象，主要椭圆轴方向不同的构象族解释不同技术得到的形状差异。,Fig. 3A–D; Results on integration and elliptical fluctuations,一个有明确定量目标的多技术整合问题：同一体系的表观几何矛盾是否由集合平均解释。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,ΔH5–DMPC轨迹/构象、SAXS曲线及误差、NOE距离上界、逐构象前向计算和BME参数；可选独立PRE/DEER作为验证。,AUTHOR_REPOSITORY_AND_DIRECTORIES_OBSERVED_PAYLOAD_UNINSPECTED,https://github.com/KULL-Centre/papers/tree/main/2020/nanodisc-bengtsen-et-al | https://github.com/KULL-Centre/papers/tree/main/2020/nanodisc-bengtsen-et-al/BME_reweight,从均匀权重基线开始重做BME整合，回算SAXS残差与NOE超限；计算每帧回转张量、acylindricity和主轴角，比较重加权前后分布、簇权重及有效样本量。,对照 Fig. 3 的散射拟合、形状分布与簇权重方向；若验证PRE/DEER，单列其预先未参与拟合的误差。,能否区分平均结构与结构集合，正确处理散射/NOE不同平均方式，以及重加权造成的有效样本缩减。,BME重加权、SAXS/NOE前向计算与形状统计,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,首批数据验收,作者提供整合分析目录，先取得散射、NOE和逐构象输入，能检验补充计算的作用。,NOT_RUN,10.7554/eLife.56518
Q06,nanodisc 边缘与中心的膜性质,"Bengtsen et al. 2020, Structure and dynamics of a nanodisc by integrating NMR, SAXS and SANS experiments with molecular dynamics simulations",10.7554/eLife.56518,ΔH5–DMPC nanodisc 的边缘脂质是否比中心更薄、更无序，而中心是否更接近普通DMPC双层？,靠近蛋白带的区域较薄且较无序，中心较厚且较有序、更接近平面双层，说明小nanodisc并非均匀的膜环境。,Fig. 4A–C; Analyses of the lipid properties in nanodiscs; Methods: Lipid properties,直接检验一种模型体系能否代表真实膜环境；空间分区和参考体系决定结论，适合暴露通用几何operator的科学限制。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,完整脂质nanodisc及普通DMPC双层轨迹和拓扑、BME权重、C–H原子对应、膜法向和蛋白带距离。,AUTHOR_REPOSITORY_OBSERVED_LIPID_AND_BILAYER_PAYLOAD_UNRESOLVED,https://github.com/KULL-Centre/papers/tree/main/2020/nanodisc-bengtsen-et-al | https://github.com/KULL-Centre/papers/tree/main/2020/nanodisc-bengtsen-et-al/molecular_dynamics_simulations,按到蛋白带距离10 Å划分中心/边缘；处理周期边界和膜法向后计算头基间厚度与逐碳SCH；用论文权重汇总并按时间块评估中心—边缘—双层差异。,与 Fig. 4 的空间分布和链段序参量曲线比较；报告中心/边缘差值及参考双层的差值，不从脂质有序度直接推出膜蛋白活性。,能否验证参考体系条件、区域定义、原子映射、时间相关性与重加权；蛋白轨迹适配器是否错误忽略脂质。,膜区域映射、厚度及脂质序参量,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.7554/eLife.56518
Q07,NUS 两条件下尺寸变化解耦,"Fuertes et al. 2017, Decoupling of size and shape fluctuations in heteropolymeric sequences reconciles discrepancies in SAXS vs. FRET measurements",10.1073/pnas.1704692114,NUS 在原生与变性条件之间的变化中，端到端距离与回转半径的相对变化是否不同，从而否定统一比例缩放的链塌缩解释？,原生条件下端到端距离和整体尺寸可解耦；用固定同聚物比例把FRET距离换为Rg会产生不一致。,Fig. 2A–I; Fig. 3A–B,同一有标签体系的两种测量形成可计算的冲突；规则必须判断差异来源并发起合适的模型比较。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,NUS及其他用于对照的样本在两条件下的SAXS q/I/σ、FRET直方图及校准、标签/未标签配对、若重加权则需原始模拟构象池。,ARTICLE_AND_SI_POINTER_VERIFIED_NUMERIC_PAYLOAD_UNRESOLVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC5547626/ | https://www.pnas.org/doi/full/10.1073/pnas.1704692114,重拟合SAXS的Rg与FRET效率；比较固定同聚物缩放模型和异质构象集合回算模型，对两条件计算Rg与Re的相对变化及G比值敏感性；标签对照独立检查。,首先复现 Fig. 2 的可观测量，再比较 Fig. 3 的两种尺寸变化；Re不是直接观测值，须随模型一并报告。,跨技术指标可比性、标签对照、非线性观测算子及模型选择；能否从冲突主动计算而不是仅记录两个数值。,SAXS/FRET重拟合与聚合物模型比较,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1073/pnas.1704692114
Q08,NUS 集合形状与内部距离变化,"Fuertes et al. 2017, Decoupling of size and shape fluctuations in heteropolymeric sequences reconciles discrepancies in SAXS vs. FRET measurements",10.1073/pnas.1704692114,同时匹配FRET与Rg的NUS原生和变性构象集合，能否重现变性后形状更细长以及尺寸与形状变化不成固定关系的结果？,同时约束的异质构象集合在变性条件下更伸长；尺寸和形状的联合分布及内部距离标度比单一Rg更能区分条件。,Fig. 4A–O; Fig. 5A–B (NUS),从构象坐标计算形状和内部距离，验证统一尺寸指标是否遗漏真实条件差异；与Q07的可观测量拟合形成不同失败探针。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,三个独立模拟的原始与重加权构象/权重、原生及变性条件标签、FRET和Rg约束及误差。,ARTICLE_LOCATOR_VERIFIED_ENSEMBLE_DOWNLOAD_UNRESOLVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC5547626/ | https://www.pnas.org/doi/full/10.1073/pnas.1704692114,逐构象计算回转张量本征值、Rg和asphericity，建立加权二维分布；计算按序列间距分组的内部距离标度，并在每个独立模拟上分别比较条件后汇总。,对照 Fig. 4 的形状移动方向、内部标度变化与 Fig. 5 的NUS集合；只显示代表结构不能算计算通过。,是否具备从ensemble到联合分布的算子及集合权重/重复管理；能否区分构象代表图、统计分布与物理机制。,加权回转张量及内部距离标度,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,10.1073/pnas.1704692114
Q09,T4 溶菌酶是否需要第三构象态,"Sanabria et al. 2020, Resolving dynamics and function of transient states in single enzyme molecules",10.1038/s41467-020-14886-w,T4溶菌酶的33组时间分辨FRET衰减，在全局分析中是否确实需要第三个构象态，而不仅是已知开放/闭合两态？,三组分全局分析比两组分更一致地解释衰减及结构距离；少数C3态的最优占比约0.21。,Fig. 4a–c; Fig. 5b–c; Characterization of the third conformer by eTCSPC,最贴合当前目标的数据到科学结论任务：同一批原始光子衰减需要模型选择、额外结构计算和不确定性判断。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,eTCSPC全部33变体的DA/DOnly衰减、仪器响应IRF、校准与标记信息；已知开放/闭合结构及染料模型作独立结构一致性检查。,REPOSITORY_FILE_LIST_AND_DOWNLOAD_LINKS_OBSERVED_NOT_DOWNLOADED,https://zenodo.org/records/3376527 | https://zenodo.org/records/3376527/files/eTCSPC_wildtype.zip?download=1 | https://zenodo.org/records/3376527/files/FRET_screening_of_PDB_structures.zip?download=1,进行带IRF卷积的两态/三态全局衰减拟合，共享态占比；比较加权残差、参数轮廓和复杂度；用结构可及体积回算检查C1/C2距离一致性。,重现模型优劣与C3占比区间；以结构一致性和残差共同判定，不因增加参数后误差变小就通过。,是否触发模型可辨识性、仪器响应、跨变体共享参数与正交证据；能否从实际拟合输出推出态数判断。,IRF卷积TCSPC全局拟合与模型比较,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,首批数据验收,2.9 MB 原始衰减包已列出；拟合能直接比较两态与三态。,NOT_RUN,T4L_SHARED_EXPERIMENT_SANABRIA_DIMURA
Q10,T4 溶菌酶功能突变的状态富集,"Sanabria et al. 2020, Resolving dynamics and function of transient states in single enzyme molecules",10.1038/s41467-020-14886-w,T4溶菌酶E11A和T26E功能突变体加入肽聚糖后，能否分别复现C2和C3富集，并与底物结合/产物加合物证据对应？,E11A底物捕获条件下C2增加；T26E产物加合物条件下C3增加，论文据此将C3与产物释放步骤联系。,Fig. 6c–g; Trapped reaction states of T4L,包含真正的体系功能问题：把突变和底物干预、构象占比及HPLC/扩散证据连接，避免只做状态分类。,PROTEIN_OR_PROTEIN_LIPID_SCIENTIFIC_QUESTION,wt**、E11A与T26E各自有/无底物的单分子与TCSPC数据、FCS数据、HPLC时间/峰信号和背景；样品与标记条件。,FUNCTIONAL_RAW_ARCHIVE_LISTED_HPLC_PAYLOAD_UNRESOLVED,https://zenodo.org/records/3376527 | https://zenodo.org/records/3376527/files/Single_molecule_Functional_variants.zip?download=1 | https://www.nature.com/articles/s41467-020-14886-w,统一拟合各条件态占比，计算有/无底物的配对变化；重新拟合FCS扩散时间，并对HPLC进行背景扣除、峰积分及时间变化比较，按样品证据连接构象与功能态。,对照 Fig. 6e 的C2/C3变化方向及 Fig. 6c/f 的结合/加合物证据；缺少HPLC或对照时只报告构象差异，不能判定产物释放机制已证明。,跨实验样品身份、干预对照、不同证据强度以及构象差异到功能机制的推断边界；几何operator是否被误用为活性证据。,FRET/FCS/HPLC多技术条件效应分析,NO_REGISTERED_MATCH_FOR_QUESTION,当前注册表没有覆盖本题完整计算的可路由Operator；所列计算为拟接能力，尚未实现或在本题验证。,后续候选,按逐题数据缺口、计算规模和科学信息量排入后续；不预先算作可运行。,NOT_RUN,T4L_SHARED_EXPERIMENT_SANABRIA_DIMURA
