case_id,paper_id,locator,obligation_id,obligation_text,matched_family,matched_rule,target_kind,coverage_label,evidence_path_finding,dependency_finding,route_finding,claim_ceiling_finding,implementation_status,failure_layer,generic_vs_source_specific,candidate_repair_id,overtriggered_rules
case_001,PDFMD-018,GRO-P01-ABSTRACT,case_001_o01,"For the actual trajectory and observable, are sampling quality and statistical uncertainty reported?",F04_SOURCE_RELIABILITY_AND_UNCERTAINTY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,COVERED_PARTIAL,"The candidate map asks for uncertainty status, source support, and detection boundary; it represents the need but not a sampling-specific executable contract.",No prerequisite is encoded.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No generic reliability conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,NO_GENERIC_RULE_DEFECT,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_001,PDFMD-018,GRO-P01-SCOPE,case_001_o02,Does the requested wording keep sampling uncertainty separate from force-field or model error?,F01_CLAIM_CONTRACT_AND_CEILING,F01R02_CASE_REQUESTED_WORDING_SCOPE,CASE,COVERED_EXACT,"The contract records requested wording, declared scope, and forbidden upgrades.",No source prerequisite; the question is intake-local.,HUMAN_OR_NEW_DATA; UNRESOLVED; HUMAN_OR_NEW_DATA rather than source lookup.,PASS records intake scope only and is not an evidence-supported scientific ceiling.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_002,PDFMD-017,THO-P01-ABSTRACT,case_002_o01,Which source observations constrain an ensemble and which quantities are calculated from the ensemble?,F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R02_SOURCE_FORWARD_BRIDGE,SOURCE,COVERED_PARTIAL,"The candidate map requires forward-bridge status and a source locator, which matches the conceptual need but not a complete bridge contract.",No dependency is encoded.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No forward-bridge conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_002,PDFMD-017,THO-P01-ABSTRACT; THO-P01-INTRO,case_002_o02,Does requested wording remain at the level of a method principle rather than a biological-certainty conclusion?,F01_CLAIM_CONTRACT_AND_CEILING,F01R02_CASE_REQUESTED_WORDING_SCOPE,CASE,COVERED_EXACT,The request-scope contract directly records declared scope and forbidden upgrades.,No dependency.,HUMAN_OR_NEW_DATA; UNRESOLVED; HUMAN_OR_NEW_DATA.,PASS is explicitly not evidence-supported or scientific.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,CR-001,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION; F03R01_SOURCE_NATIVE_MEASUREMENT
case_003,PDFMD-002,GOM-P01-ABSTRACT; GOM-P02-FIG2,case_003_o01,"For each reported source object, are construct identity, labeling, buffer condition, and the relevant sample composition explicitly declared?",F02_SYSTEM_CONSTRUCT_AND_CONDITION,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION,SOURCE,COVERED_EXACT,"Required paths are construct_and_condition, sample_composition, and composition-declaration status, matching the obligation.",No source-local prerequisite.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP is declared-only and cannot infer omitted composition.,PASS records only a source-local declaration and does not certify homogeneity.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,DATA_INSUFFICIENT,,
case_003,PDFMD-002,GOM-P01-ABSTRACT; GOM-P02-FIG1; GOM-P02-FIG2,case_003_o02,Are construction and independent-validation data roles identified without treating labels or buffer as proof of sample homogeneity?,F06_CROSS_SOURCE_COMPARABILITY_AND_EVIDENCE_ROLE,F06R01_SOURCE_EVIDENCE_ROLE,SOURCE,COVERED_EXACT,"Required paths record evidence role, source locator, and data-lineage status; they express role rather than homogeneity.",Independence remains a separate EDGE question.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS records a source role and does not establish independence.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,NO_GENERIC_RULE_DEFECT,,
case_004,PDFMD-001,HEN-P01-ABSTRACT; HEN-P02-RESULTS,case_004_o01,"Are the molecular entity, domain boundary, and measured condition declared before interpreting the result?",F02_SYSTEM_CONSTRUCT_AND_CONDITION,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION,SOURCE,COVERED_EXACT,The construct/condition and composition-declaration paths match the source-system requirement.,No source-local prerequisite.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP if full composition remains absent.,PASS stays source-local and does not certify homogeneity.,COMPLETE_DRAFT,NO_GENERIC_RULE_DEFECT,DATA_INSUFFICIENT,,
case_004,PDFMD-001,HEN-P01-ABSTRACT,case_004_o02,Does requested wording preserve the isolated-domain scope rather than attribute the result to full-length HSP90?,F01_CLAIM_CONTRACT_AND_CEILING,F01R02_CASE_REQUESTED_WORDING_SCOPE,CASE,COVERED_PARTIAL,The CASE contract can reject a declared forbidden upgrade but does not consume the source-domain boundary as evidence.,No dependency links the source declaration to the CASE wording ceiling.,HUMAN_OR_NEW_DATA; UNRESOLVED; HUMAN_OR_NEW_DATA for missing case scope.,The current PASS is an intake scope check and not an evidence-supported domain-to-full-length ceiling.,COMPLETE_DRAFT,CLAIM_CEILING_GAP,SOURCE_SPECIFIC_ONLY,,
case_005,PDFMD-006,DIM-P01-ABSTRACT,case_005_o01,"Are the protein system, state, probe-pair set, and modeled representation declared for each result rather than collapsed across benchmarks?",F02_SYSTEM_CONSTRUCT_AND_CONDITION,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION,SOURCE,COVERED_PARTIAL,"The source declaration paths cover construct/condition/composition but do not model a per-benchmark, per-probe-pair inventory.",No per-benchmark dependency is encoded.,SOURCE_LOOKUP; UNRESOLVED; SOURCE_LOOKUP.,PASS is source-local and cannot merge distinct systems into one sample claim.,COMPLETE_DRAFT,REQUIRED_EVIDENCE_GAP,METHOD_PROFILE_ISSUE,,
case_005,PDFMD-006,DIM-P01-ABSTRACT; DIM-P01-INTRO,case_005_o02,Is the role of FRET evidence distinguished from the role of subsequent coarse-grained and all-atom computation?,F05_REPRESENTATION_SUPPORT_AND_FORWARD_BRIDGE,F05R02_SOURCE_FORWARD_BRIDGE,SOURCE,COVERED_PARTIAL,The candidate map names a forward bridge but has no executable relation between FRET information and computational stages.,No dependency is encoded.,HUMAN_OR_NEW_DATA; CANDIDATE_MAP_ONLY_NOT_EVALUATED; HUMAN_OR_NEW_DATA.,No forward-bridge conclusion is frozen.,CANDIDATE_MAP_ONLY,RULE_GAP,METHOD_PROFILE_ISSUE,,
