case_id,bucket,family_focus,target_kind,source_record_ids,critic_cohort,review_status,primary_verdict,defect_taxonomies,generic_statuses,unsafe_false_pass_risk,candidate_repair_status,candidate_patch_id,regression_scope,regression_result,human_review_questions,interpretation_zh
case_001,F01_COMPLETE_DRAFT,F01R01_CASE_CLAIM_DECLARATION;F01R02_CASE_REQUESTED_WORDING_SCOPE,CASE,PDFMD-018,CLAUDE_CROSS_MODEL_CRITIC,COMPLETED_ISOLATED_CLAUDE_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_002,F01_COMPLETE_DRAFT,F01R01_CASE_CLAIM_DECLARATION;F01R02_CASE_REQUESTED_WORDING_SCOPE,CASE,PDFMD-017,CLAUDE_CROSS_MODEL_CRITIC,COMPLETED_ISOLATED_CLAUDE_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT;NO_PATTERN_DEFECT,NOT_A_DEFECT;NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_003,F02_COMPLETE_DRAFT,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION,SOURCE,PDFMD-002,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,PENDING_MODEL_REVIEW,,,,false,NOT_ELIGIBLE_PENDING_MODEL_REVIEW,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,A human or later model review is required before this case can influence a candidate patch.,待模型复核，不能用于候选修订
case_004,F02_COMPLETE_DRAFT,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION,SOURCE,PDFMD-001,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,PENDING_MODEL_REVIEW,,,,false,NOT_ELIGIBLE_PENDING_MODEL_REVIEW,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,A human or later model review is required before this case can influence a candidate patch.,待模型复核，不能用于候选修订
case_005,F02_COMPLETE_DRAFT,F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION,SOURCE,PDFMD-006,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,PENDING_MODEL_REVIEW,,,,false,NOT_ELIGIBLE_PENDING_MODEL_REVIEW,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,A human or later model review is required before this case can influence a candidate patch.,待模型复核，不能用于候选修订
case_006,F03_COMPLETE_DRAFT,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,PDFMD-007,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_007,F03_COMPLETE_DRAFT,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,PDFMD-007,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_008,F03_COMPLETE_DRAFT,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,PDFMD-004,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_009,F03_COMPLETE_DRAFT,F03R01_SOURCE_NATIVE_MEASUREMENT,SOURCE,PDFMD-011,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_010,F06_COMPLETE_DRAFT,F02R02_EDGE_CONDITION_COMPATIBILITY;F06R02_EDGE_COMPARABILITY;F06R03_EDGE_VALIDATION_INDEPENDENCE,EDGE,PDFMD-010,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_011,F06_COMPLETE_DRAFT,F06R01_SOURCE_EVIDENCE_ROLE;F06R03_EDGE_VALIDATION_INDEPENDENCE,EDGE,PDFMD-005,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_012,F06_COMPLETE_DRAFT,F06R01_SOURCE_EVIDENCE_ROLE;F06R02_EDGE_COMPARABILITY;F06R03_EDGE_VALIDATION_INDEPENDENCE,EDGE,PDFMD-004,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_013,F04_CANDIDATE_FAMILY_DISCOVERY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,PDFMD-008,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
case_014,F04_CANDIDATE_FAMILY_DISCOVERY,F04R01_SOURCE_RELIABILITY_PROVENANCE,SOURCE,PDFMD-009,LUNA_CONTEXT_ISOLATED_ADVISORY_CRITIC,COMPLETED_LUNA_ADVISORY_INITIAL_REVIEW,APPROVE_KEEP,NO_PATTERN_DEFECT,NOT_A_DEFECT,false,NOT_ELIGIBLE_NO_PATTERN_DEFECT_REPORTED,,NOT_APPLICABLE_NO_CANDIDATE_PATCH,NOT_RUN_NO_ACCEPTED_TASK_LOCAL_CANDIDATE_PATCH,,模型初审未报告规则缺陷；不构成科学批准
