answer_id,sequence,case,arm,replicate,status,operator_enabled,required_operators,used_operators,used_result_count,submissions,rejection_count,unbound_claims,cost_usd,tools,requests,wall_seconds,claim_boundary
blind_01,1,HSP90_Q02,O,1,COMPLETE,True,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,8,2,2,0,0.02167718,31,12,106.79308154201135,runtime gate evidence; not a scientific validity judgment
blind_02,2,ADK_Q02,O,3,COMPLETE,True,domain_distance_distribution;window_change,domain_distance_distribution;window_change,2,2,1,0,0.01036688,14,10,55.10505600000033,runtime gate evidence; not a scientific validity judgment
blind_03,3,ADK_Q02,D,2,COMPLETE,False,,,0,2,1,0,0.0066081,19,13,41.09744454099564,runtime gate evidence; not a scientific validity judgment
blind_04,4,ADK_Q02,O,2,COMPLETE,True,domain_distance_distribution;window_change,domain_distance_distribution;window_change,2,2,1,0,0.00912793,6,6,54.056175959005486,runtime gate evidence; not a scientific validity judgment
blind_05,5,ADK_Q02,O,1,COMPLETE,True,domain_distance_distribution;window_change,domain_distance_distribution;window_change,2,2,1,0,0.00856495,7,7,50.4613007500011,runtime gate evidence; not a scientific validity judgment
blind_06,6,ADK_Q02,O,4,COMPLETE,True,domain_distance_distribution;window_change,domain_distance_distribution;window_change,2,2,1,0,0.00654037,6,6,43.289039249997586,runtime gate evidence; not a scientific validity judgment
blind_07,7,HSP90_Q02,D,4,COMPLETE,False,,,0,2,1,0,0.00573307,19,12,26.68050795799354,runtime gate evidence; not a scientific validity judgment
blind_08,8,HSP90_Q02,O,2,COMPLETE,True,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,6,2,3,0,0.01896672,12,7,108.02756766602397,runtime gate evidence; not a scientific validity judgment
blind_09,9,HSP90_Q02,O,3,COMPLETE,True,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,6,2,1,0,0.01028394,10,6,63.34325025000726,runtime gate evidence; not a scientific validity judgment
blind_10,10,ADK_Q02,D,1,COMPLETE,False,,,0,2,1,0,0.004945650000000001,21,11,31.41756945801899,runtime gate evidence; not a scientific validity judgment
blind_11,11,HSP90_Q02,D,3,COMPLETE,False,,,0,2,1,0,0.0055076000000000005,19,11,27.9197441249853,runtime gate evidence; not a scientific validity judgment
blind_12,12,ADK_Q02,D,3,COMPLETE,False,,,0,2,2,0,0.007641429999999999,19,10,51.33432012499543,runtime gate evidence; not a scientific validity judgment
blind_13,13,HSP90_Q02,D,2,COMPLETE,False,,,0,2,1,0,0.00615389,23,10,25.80463441699976,runtime gate evidence; not a scientific validity judgment
blind_14,14,HSP90_Q02,O,4,COMPLETE,True,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,OP1_direction_runs;OP2_noe_reference_crosswalk;OP3_state_population_convergence;OP4_transition_count;OP5_excursion_detection;OP6_coverage_vs_reference,8,2,3,0,0.022260560000000002,26,15,138.69367083301768,runtime gate evidence; not a scientific validity judgment
blind_15,15,HSP90_Q02,D,1,COMPLETE,False,,,0,2,1,0,0.00590878,20,11,27.294369459006703,runtime gate evidence; not a scientific validity judgment
blind_16,16,ADK_Q02,D,4,COMPLETE,False,,,0,2,1,0,0.007162299999999999,22,11,39.97356558399042,runtime gate evidence; not a scientific validity judgment
F_HSP90_Q02,reference,HSP90_Q02,F,reference,COMPLETE,True,OP1_direction_runs__p7286bda5__i60bac79f;OP1_direction_runs__pcc97f5f0__i60bac79f;OP1_direction_runs__p8705a961__i60bac79f;OP2_noe_reference_crosswalk__p61ec8ada__i60bac79f;OP3_state_population_convergence__p73102ba2__if92cde8b;OP4_transition_count__p1faa5dbf__i60bac79f;OP5_excursion_detection__p637f0522__i60bac79f;OP6_coverage_vs_reference__p891435f0__i60bac79f,OP1_direction_runs__p7286bda5__i60bac79f;OP1_direction_runs__pcc97f5f0__i60bac79f;OP1_direction_runs__p8705a961__i60bac79f;OP2_noe_reference_crosswalk__p61ec8ada__i60bac79f;OP3_state_population_convergence__p73102ba2__if92cde8b;OP4_transition_count__p1faa5dbf__i60bac79f;OP5_excursion_detection__p637f0522__i60bac79f;OP6_coverage_vs_reference__p891435f0__i60bac79f,8,1,0,0,0.0,0,0,0,fixed local operator output; no model or simulation call
F_ADK_Q02,reference,ADK_Q02,F,reference,COMPLETE,True,ADK_domain_distance_distribution__p44136fa3__i3fee6dce;ADK_window_change__p44136fa3__i3fee6dce,ADK_domain_distance_distribution__p44136fa3__i3fee6dce;ADK_window_change__p44136fa3__i3fee6dce,2,1,0,0,0.0,0,0,0,fixed local operator output; no model or simulation call
