"rule_id","paper_id","source_locator","primary_layer","canonical_family","proposed_tier","current_binding_ids","disposition","reason","proposed_action"
"C001-RULE-001","hellenkamp_2018_smfret_benchmark","HEL-S03; HEL-S04","M1","RF03","METHOD_PROFILE","","MERGE","Overlaps the generic native-observable and estimand family","Retain as smFRET evidence/guidance under RF03; do not expose as a separate top-level rule"
"C001-RULE-002","hellenkamp_2018_smfret_benchmark","HEL-S01; HEL-S03; HEL-S05","M2","RF05","METHOD_PROFILE","source-uncertainty-provenance","REVISE","The paper rule is FRET-specific but the current binding applies it to nearly every non-construction source, including cryo-EM","Narrow this rule to smFRET or replace the generic binding with a separately sourced RF05 rule"
"C001-RULE-003","hellenkamp_2018_smfret_benchmark","HEL-S01; HEL-S02; HEL-S05","M2","RF05","METHOD_PROFILE","","MERGE","Calibration status is a method-profile instance of RF05","Keep the DNA benchmark boundary as smFRET calibration guidance"
"C002-RULE-001","agam_2023_smfret_reliability","AGAM-S01; AGAM-S03; AGAM-S04; AGAM-S06","M1","RF03","METHOD_PROFILE","","MERGE","Duplicates native-observable semantics while adding protein probe context","Use it as the protein-smFRET specialization of RF03"
"C002-RULE-002","agam_2023_smfret_reliability","AGAM-S04; AGAM-S05; AGAM-S06","M3","RF09","METHOD_PROFILE","","KEEP","Distinct protein-smFRET dye/linker forward-model requirement","Keep in the smFRET method profile with its existing scope and abstain route"
"C002-RULE-003","agam_2023_smfret_reliability","AGAM-S04; AGAM-S05; AGAM-S06","M2","RF06","METHOD_PROFILE","","KEEP","Distinct photophysics/probe alternative-explanation check","Keep as smFRET diagnostic guidance; do not generalize the exact tests to all methods"
"C003-RULE-001","dimura_2020_fret_assisted_modeling","DIM-S02; DIM-S03; DIM-S04","M3","RF08","METHOD_PROFILE","","REVISE","Combines a generic candidate-support check with method-specific informative-pair experimental design","Split support provenance into RF08 and pair selection into a FRET operator/design profile"
"C003-RULE-002","dimura_2020_fret_assisted_modeling","DIM-S03; DIM-S05","M3","RF08","CORE","source-candidate-support-lineage","MERGE","Missing-state and prior-support logic is repeated by C006 and C012","Create one generic RF08 family with this paper as one supporting source; re-anchor the binding"
"C003-RULE-003","dimura_2020_fret_assisted_modeling","DIM-S03; DIM-S04; DIM-S05","M4","RF11","CORE","edge-heldout-validation-discriminability","REVISE","The paper finding separates uncertainty quantities while the executable binding asks a narrower held-out relation question","Split independent-validation applicability from the method-specific uncertainty-reporting guidance"
"C005-RULE-001","fuertes_2017_saxs_smfret_non_equivalence","FUE-S01; FUE-S02; FUE-S04","M1/M4","RF03/RF10","CORE","edge-estimand-and-spatial-support","MERGE","Provides a strong example of generic estimand/support non-equivalence","Merge into RF03/RF10; revise the binding so same-method cross-condition comparisons are not automatically excluded"
"C005-RULE-002","fuertes_2017_saxs_smfret_non_equivalence","FUE-S03; FUE-S04; FUE-S05","M4","RF10","CORE","edge-forward-or-qualitative-bridge","KEEP","Distinctly preserves disagreement and requires an explicit qualitative or joint-ensemble relation","Keep as the relationship/bridge family core, with bounded wording"
"C005-RULE-003","fuertes_2017_saxs_smfret_non_equivalence","FUE-S02; FUE-S03; FUE-S04","M3","RF09","METHOD_PROFILE","","KEEP","Distinct inverse-model warning for heteropolymeric SAXS-smFRET interpretation","Keep in an IDP/SAXS-smFRET method profile"
"C006-RULE-001","shevchuk_2017_bayesian_saxs_refinement","SH-S02; SH-S04","M3","RF09","METHOD_PROFILE","","REVISE","Combines generic forward-model requirements with SAXS-specific Bayesian likelihood/prior details","Use generic pieces in RF09 and move likelihood/state-weight details into a SAXS operator profile"
"C006-RULE-002","shevchuk_2017_bayesian_saxs_refinement","SH-S03; SH-S05","M3/M6","RF08/RF13","METHOD_PROFILE","","MERGE","Prior sensitivity and posterior weight behavior support existing support/identifiability families","Retain as SAXS evidence and operator guidance under RF08/RF13"
"C006-RULE-003","shevchuk_2017_bayesian_saxs_refinement","SH-S02; SH-S05","M3/M6","RF08/RF14","CORE","","MERGE","Missing-state support is the same reusable constraint expressed by C003 and C012","Merge into RF08 with a common claim-ceiling consequence"
