claim_id,claim,answer_locator,provenance,reproducible,input_checked,method_note,status,source_locator,claims_array_note,agent_quote,evaluation_kind
B1-01,"20+20 trajectories; 20–1020 ns; 1001 points, 1 ns stride; trajectory is statistical unit",AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Context,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: The delivered time axis and denominator agree.,VERIFIED,common/HSP90_SOURCE_AND_RUN_CARD.json; FIELD_DEFINITIONS.md,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-02,"Both signed readouts positive=open-directed, both negative=closed-directed; other=conflict",AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Direction definition,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Operational signs are distinct from paper-native state labels.,VERIFIED,common/FIELD_DEFINITIONS.md:7,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-03,Departure reference is first persistent direction; return is rule- and window-specific,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Event semantics,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Does not prove a physical departure or absence of all returns.,VERIFIED,common/FIELD_DEFINITIONS.md:13-17,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-04,Open starts stable; closed starts stable/open-like/neither; current proxy differs from paper native NOE/structural definitions,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Paper relationship,AUTHOR_REPORT,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Qualitative compatibility, not an exact reproduction.",VERIFIED,article pp.5–6 Fig.4; hidden/literature_claims.json:HPA-02/03/04,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-05,"No equilibrium populations, physical rates or unique mechanism established by these derived tables",AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Inference limits,FROM_CITED_FILE,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Bounded interpretation of a finite, seeded sample.",VERIFIED,hidden/grading_rubric.md:7; article p.6 non-ergodicity,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-06,Current packet excludes raw coordinate arrays/full native NOE inputs,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Data availability,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Packet-local limit; does not assert global data unavailable.,VERIFIED,common/SOURCE_INVENTORY.json:missing,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-07,"Proposed coordinate/NOE correspondence, persistent state definitions and uncertainty analysis",AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Next action,AGENT_PROPOSAL,NOT_ATTEMPTED,NO,"DEVELOPER_JUDGMENT: Proposed native-coordinate/NOE correspondence addresses the remaining gap. Not executed is a role label, not failure; broader kinetics proposals need separate scope.",NOT_INDEPENDENTLY_VERIFIED,answer.md:next action,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,对原始坐标逐帧计算论文特征NOE距离及其明确的时间平均/容差兼容性，与`geometry_delta_A`和`contact_margin_A`逐轨迹对照；保留neither和冲突类别，并预先规定首次跨越、持续时间和返回事件。随后以轨迹为单位进行区间估计或block bootstrap；若要讨论速率或平衡，需更多独立轨迹或增强采样，并单独报告模型不确定性。,DESIGN_PROPOSAL
B1-08,"5/20,4/20,1/20 closed departures versus0 open; no returns",AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Threshold results,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT: Correct.,VERIFIED,replay/code_01.py; hidden/reference_values.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-09,Closed C1/O0/U20019; open C0/O2/U20018; adjacent C↔O0,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Core counts,FROM_AGENT_COMPUTATION,YES,YES,"DEVELOPER_JUDGMENT: Adjacent-only test would miss C–U–O generally, but source counts here independently exclude both labels in a trajectory.",VERIFIED,replay/code_01.py; direct_source_check.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-10,"At20 frames115,402,605,671ns; at50 frames402ns",AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Event times,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT: Correct order-independent event times.,VERIFIED,replay/code_02.py; hidden/reference_values.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-11,Closed bins169C/143O/108conflict; open420O,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Bin counts,FROM_AGENT_COMPUTATION,YES,YES,"DEVELOPER_JUDGMENT: Counts include all bins, including endpoint singletons.",VERIFIED,replay/code_02.py; common/trajectory_time_bins_50ns.tsv,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-12,420个常规箱,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Bin duration wording,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT after Pro: local wording error; 400 full bins +20 singleton endpoints. No demonstrated downstream primary-count error.,MISMATCH,direct_source_check.json:bin_sizes,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,闭合起始组420个常规箱中169 CLOSED、143 OPEN、108 CONFLICT,SCIENTIFIC_CLAIM
B1-13,5/20/50 saved frames span4/19/49ns,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Frame convention,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Correct.,VERIFIED,common/FIELD_DEFINITIONS.md,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
B1-14,Cannot audit RMP restraint/prior ensemble/fit objective therefore PRIOR_OR_MODEL_UNRESOLVED,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Imported rule terminology,FROM_CITED_FILE,NOT_ATTEMPTED,NO,"DEVELOPER_JUDGMENT: The reminder contains method-specific RMP terms; relevance to this NMR seed-reference comparison is not established. Additional checklist language, not a demonstrated scientific gain.",NOT_INDEPENDENTLY_VERIFIED,arm_B/ACTIVE_RULES.md:C003-RULE-002; answer.md,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,资料清单明确缺少原始坐标数组和完整的NOE restraint计算输入（`SOURCE_INVENTORY.json:66–71`）。因此不能完成NOE forward calculation，也不能验证RMP restraint、prior ensemble、fit objective和model uncertainty的完整链条；相关ensemble支持应保持`PRIOR_OR_MODEL_UNRESOLVED`，不能把表格结果当作外部验证。类似地，不能从这些表估计平衡占比、微秒外速率或因果机制。论文的NMR毫秒交换和约3–4%闭合激发态占比是作者报告，不是本次MD表格重算结果（原文`360–369`）。,SCIENTIFIC_CLAIM
B1-15,Approximately3–4% low-population closed excited state attributed to paper,AGENT_RAW/HSP90_Q01_B_b909c96b/answer.md; section matching Experimental population,AUTHOR_REPORT,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Approximate author report; 293K CPMG fitted population3.2%; cited answer lines360–369 are imprecise for numeric result. Not local MD population.,VERIFIED,article p.6; HPA-08,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.,,SCIENTIFIC_CLAIM
