blind_id,experiment,case,arm,replicate,run,answer_sha256,core_correct,core_errors,overclaim,unnecessary_abstention,defect_detected,defect_downgraded,next_action,inapplicable_adoption,subquestion_coverage,units,rationale,cost_usd,input_tokens,output_tokens,wall_seconds,accepted,status
V001,E2,Q-A1,FEEDBACK,4,Q-A1_FEEDBACK_d883c665,53238a45769cc29ef642dbbf1c5b97100191b539a29a887ed62b4db7127bce71,5,0,0,0,0,0,1,0,0,CCCCC,四个变化+0.0707/+2.2904/+1.0909/+1.1764均正确；明确apo、303.15K vs294K、n=1与4.3ms实验/MD时钟边界。,0.014187539999999998,57422,6497,66.12620387499919,True,COMPLETE
V002,E1b,Q-D-defect,D,1,Q-D-defect_D_292d1cc1,78bb16862b7e6e379cef49082e308687cc74ddfe5f473dc7b030b9546399cae0,3,1,1,1,0,0,1,0,0,ECCCM,用原始假大距离作接触强弱依据并断言“确实…形成…更频繁的局部近接触”，未发现/降级包装问题；Ki与Fig3正确，未把长尾直接叫状态转换；缺少坏表无法无坐标修理的边界。,0.017242199999999996,82992,8188,79.5192048750032,True,SUBMITTED_NO_EXPLICIT_REVISION
V003,E3,Q05,R_old,3,Q05_R_old_e24bdb4e,363779805070d4333396acf3cf68105bba82e901596a9b0864a844c2ba9506f1,5,0,0,0,0,0,1,0,0,CCCCC,实际比较90 SAXS点与292/40 NOE上限；HN83.90%、methyl80%、最大methyl2.750Å与来源相符；明确拟合重用、r^-3与有限候选支持，无肯定不适用术语。,0.01145091,94841,5071,55.31841762499971,True,SUBMITTED_NO_EXPLICIT_REVISION
V004,E4,Q-A1,ORIGINAL,2,Q-A1_ORIGINAL_24938022,0e40b528c8914fb7f92c287c6bcac154a9e7d78946c5b8c97849e5490b03b733,4,0,0,1,0,0,1,0,2,MCCCC,首末四增量正确，apo、4.3ms和n=1/相关帧边界清楚；未给两轨迹分布中位数与重叠，覆盖幅度和顺序边界但未回答分布分离。,0.011889439999999998,73152,4381,45.67052679100016,True,SUBMITTED_NO_EXPLICIT_REVISION
V005,E4,Q-A1,ORIGINAL,1,Q-A1_ORIGINAL_4cfd3c77,e852b9c4e512a560246de42c2d1d4513d419a9f4433f374297985d06c071a449,4,0,0,1,0,0,1,0,2,MCCCC,四增量与窗口正确；apo/实验时钟、n=1和相关帧边界清楚；未比较全分布位置/重叠，覆盖幅度与顺序边界。,0.014230839999999998,54792,7055,62.83780591699906,True,COMPLETE
V006,E3,Q-H2,R_old,1,Q-H2_R_old_c1871039,bce12843338e138983297cca3df21cbea91b6904c08d93f5ff7d8a725669924e,3,1,0,1,0,0,1,0,0,CEMCC,9/1与18/1/1和0.5/2Å分类正确；p95=1.32但仅给开放组进入参照结果，漏ES04@188/ES15@690；正文有未清理BOTH_FAR问号片段，不改变主分类数。 封存前核对：19369是两组合计，误归开放组得到96.75%；实际18167/20020=90.74%，因此开放组核心数值单元改E。,0.015443090000000001,142051,7130,72.73799145800149,True,TOKEN_LIMIT
V007,E4,HSP90_Q01,ORIGINAL,2,HSP90_Q01_ORIGINAL_e5efd9b5,62913a7c3f93cce7ffd0c6b5ea064aeb67a85b77ca68e673eb9c9b903f3df8ad,2,0,0,3,0,0,1,0,2,MMMCC,有5/4/1和开放0，却未汇总10everO或5+5+10；未实际做已给原生NOE对照。方向、锚定支持核心和物理转换明确区分，无速率/平衡升级。,0.01705664,133401,6463,62.23989695899945,True,COMPLETE
V008,E3,Q-H2,R_scoped,1,Q-H2_R_scoped_fd66bb04,da1b5e0175ba5e7b4460148b8e4a64ded51370e62dd5e6bc5d2a711585f75ca5,2,3,0,0,0,0,1,0,0,EECEC,闭合主分类误写10/10相对而非9/1；开放18+1+2自相矛盾并错写代表/合计；2Å闭合2/4/4而非3/5/2。三项核心数值错误；p95和两进入时刻正确。正文BME未验证状态为探索性适用性问题，不追加入冻结四词评分。,0.01753741,138091,6977,77.02552820900019,True,TOKEN_LIMIT
V009,E4,Q-A1,SPLIT,4,Q-A1_SPLIT_77afea46,ed81615d1ed428c0a1c74884f4438a6ba9685d67304546c2fe4420559f7f5be7,5,0,0,0,0,0,1,0,3,CCCCC,用正确均值/范围而非中位数完成等价的分布位置与重叠比较；四增量、apo/4.3ms时钟与n=1边界正确，三个子问题都回答。报告朴素KS p值但明确不作为独立重复/平衡推断，保留为方法风险备注。,0.012822110000000001,69786,4987,55.31107491700095,True,SUBMITTED_NO_EXPLICIT_REVISION
V010,E3,Q05,R_scoped,3,Q05_R_scoped_df542070,47e5531b59535033c61fc3bd1dcfaf8193e337f27cf15684be5263a948b51a40,2,1,1,1,0,0,1,0,0,CEMEC,SAXS真实数值计算成立；把NOE上限作点目标，以绝对误差/±0.5比例推出NOE吻合较弱，两个错误单元同属一项估计量错误。未明确同数据拟合与独立预测角色；有限权重/不确定与下一步清楚。,0.01085562,63407,4451,50.33081016600045,True,SUBMITTED_NO_EXPLICIT_REVISION
