RuleInstance	status	route	reason
F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION::SOURCE::Q05_MD_PREDICTIONS	PASS	DIRECT_EVALUATION	SOURCE_SAMPLE_SYSTEM_AND_COMPOSITION_DECLARED
F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION::SOURCE::Q05_SAXS_EXPERIMENT	PASS	DIRECT_EVALUATION	SOURCE_SAMPLE_SYSTEM_AND_COMPOSITION_DECLARED
F02R01_SOURCE_SAMPLE_SYSTEM_COMPOSITION_DECLARATION::SOURCE::Q05_NOE_EXPERIMENT	PASS	DIRECT_EVALUATION	SOURCE_SAMPLE_SYSTEM_AND_COMPOSITION_DECLARED
F02R02_EDGE_CONDITION_COMPATIBILITY::EDGE::Q05_MD_TO_SAXS	UNRESOLVED	SOURCE_LOOKUP	EDGE_CONDITION_RELATION_UNRESOLVED
F02R02_EDGE_CONDITION_COMPATIBILITY::EDGE::Q05_MD_TO_NOE	UNRESOLVED	SOURCE_LOOKUP	EDGE_CONDITION_RELATION_UNRESOLVED
F03R01_SOURCE_NATIVE_MEASUREMENT::SOURCE::Q05_MD_PREDICTIONS	UNRESOLVED	SOURCE_LOOKUP	SOURCE_NATIVE_MEASUREMENT_SEMANTICS_UNRESOLVED
F03R01_SOURCE_NATIVE_MEASUREMENT::SOURCE::Q05_SAXS_EXPERIMENT	PASS	DIRECT_EVALUATION	SOURCE_NATIVE_MEASUREMENT_DECLARED
F03R01_SOURCE_NATIVE_MEASUREMENT::SOURCE::Q05_NOE_EXPERIMENT	PASS	DIRECT_EVALUATION	SOURCE_NATIVE_MEASUREMENT_DECLARED
F01R01_CASE_CLAIM_DECLARATION::CASE::q05_nanodisc_saxs_noe_20260904	PASS	DIRECT_EVALUATION	CLAIM_CONTRACT_CONSISTENT
F01R02_CASE_REQUESTED_WORDING_SCOPE::CASE::q05_nanodisc_saxs_noe_20260904	PASS	DIRECT_EVALUATION	REQUESTED_WORDING_WITHIN_DECLARED_SCOPE
F06R01_SOURCE_EVIDENCE_ROLE::SOURCE::Q05_MD_PREDICTIONS	UNRESOLVED	SOURCE_LOOKUP	NO_EXPLICIT_CONTRACT_OUTCOME
F06R01_SOURCE_EVIDENCE_ROLE::SOURCE::Q05_SAXS_EXPERIMENT	UNRESOLVED	SOURCE_LOOKUP	NO_EXPLICIT_CONTRACT_OUTCOME
F06R01_SOURCE_EVIDENCE_ROLE::SOURCE::Q05_NOE_EXPERIMENT	UNRESOLVED	SOURCE_LOOKUP	NO_EXPLICIT_CONTRACT_OUTCOME
F06R02_EDGE_COMPARABILITY::EDGE::Q05_MD_TO_SAXS	UNRESOLVED	SOURCE_LOOKUP	EDGE_COMPARABILITY_INPUT_UNRESOLVED
F06R02_EDGE_COMPARABILITY::EDGE::Q05_MD_TO_NOE	UNRESOLVED	SOURCE_LOOKUP	EDGE_COMPARABILITY_INPUT_UNRESOLVED
F06R03_EDGE_VALIDATION_INDEPENDENCE::EDGE::Q05_MD_TO_SAXS	UNRESOLVED	SOURCE_LOOKUP	VALIDATION_INDEPENDENCE_INPUT_UNRESOLVED
F06R03_EDGE_VALIDATION_INDEPENDENCE::EDGE::Q05_MD_TO_NOE	UNRESOLVED	SOURCE_LOOKUP	VALIDATION_INDEPENDENCE_INPUT_UNRESOLVED
