rule_id,paper_id,paper_title,source_locator,rule_class,source_classification,gate_path_semantics,gate_primary,gate_path,paper_finding,proposed_project_rule,required_fields,integration_operator,requires_numeric_threshold,acceptance_rule_status,model_or_support_validation_required,validation_route,abstain_route,transfer_scope,project_status
C001-RULE-001,hellenkamp_2018_smfret_benchmark,Hellenkamp 2018 smFRET benchmark,HEL-S03; HEL-S04,measurement_semantics,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G1,G0>G1>G2,"A smFRET comparison unit must distinguish raw/apparent and corrected FRET efficiency, FRET-averaged distance, and accessible-volume mean-position distance; these are different estimands.","在 G0>G1>G2 的重点检查中要求 raw/apparent/corrected E, R_<E>, R_MP and averaging law；若无法验证则走 ESTIMAND_UNSPECIFIED。","raw/apparent/corrected E, R_<E>, R_MP and averaging law",source_native_measurement,no,not_applicable,no,calibration benchmark / internal consistency,ESTIMAND_UNSPECIFIED,measurement contract; DNA precision does not automatically transfer to protein,supported_for_rule_candidate
C001-RULE-002,hellenkamp_2018_smfret_benchmark,Hellenkamp 2018 smFRET benchmark,HEL-S01; HEL-S03; HEL-S05,uncertainty_provenance,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G2,G1>G2>G3,"FRET distance uncertainty must include measurement correction, R0, dye-motion/AV and model assumptions rather than only histogram spread.","在 G1>G2>G3 的重点检查中要求 correction, R0, dye/AV and propagated measurement/model uncertainty；若无法验证则走 UNCERTAINTY_UNRESOLVED。","correction, R0, dye/AV and propagated measurement/model uncertainty",uncertainty_aware_comparison,method_specific_or_calibration,calibration_required,yes,uncertainty propagation audit,UNCERTAINTY_UNRESOLVED,requires explicit calibration provenance,supported_for_rule_candidate
C001-RULE-003,hellenkamp_2018_smfret_benchmark,Hellenkamp 2018 smFRET benchmark,HEL-S01; HEL-S02; HEL-S05,measurement_quality,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G2,G1>G2>G5,"A standardized DNA benchmark establishes measurement reproducibility under its stated setup, not universal protein-distance accuracy or biological dynamics validity.","在 G1>G2>G5 的重点检查中要求 inter-lab variation, precision versus biological accuracy and calibration status；若无法验证则走 CALIBRATION_STATUS_UNKNOWN。","inter-lab variation, precision versus biological accuracy and calibration status",calibrated_source_comparison,method_specific_or_calibration,paper_specific_method_dependent,no,blind/reference benchmark or equivalent controls,CALIBRATION_STATUS_UNKNOWN,"benchmark lesson, not a biological accuracy guarantee",supported_for_rule_candidate
C002-RULE-001,agam_2023_smfret_reliability,Agam 2023 protein smFRET reliability,AGAM-S01; AGAM-S03; AGAM-S04; AGAM-S06,measurement_semantics,reasonable_inference_from_paper,focus_dependencies_not_execution_order,G1,G0>G1>G2,"A protein smFRET comparison unit must retain the corrected FRET observable, condition, label/probe context, and calibration semantics; a bare structural distance is not an equivalent substitute.",在 G0>G1>G2 的重点检查中要求 source-native observable and corrected/raw status；若无法验证则走 OBSERVABLE_UNSPECIFIED。,source-native observable and corrected/raw status,source_native_measurement,no,not_applicable,no,calibration/probe audit,OBSERVABLE_UNSPECIFIED,not transferable without protein-specific probe context,supported_for_rule_candidate
C002-RULE-002,agam_2023_smfret_reliability,Agam 2023 protein smFRET reliability,AGAM-S04; AGAM-S05; AGAM-S06,forward_bridge,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G3,G1>G2>G3>G5,A structure/ensemble-to-smFRET comparison requires an explicit dye/linker forward model; dye–protein interaction checks may alter the model choice and accuracy.,"在 G1>G2>G3>G5 的重点检查中要求 dye/linker behaviour, AV/ACV, averaging law, probe artifact checks and model uncertainty；若无法验证则走 FORWARD_MODEL_OR_PROBE_UNVERIFIED。","dye/linker behaviour, AV/ACV, averaging law, probe artifact checks and model uncertainty",probe_aware_forward_model,method_specific_or_calibration,calibration_required,yes,measurement-space prediction plus probe-artifact controls,FORWARD_MODEL_OR_PROBE_UNVERIFIED,protein smFRET conditions only; no automatic kinetics upgrade,supported_for_rule_candidate
C002-RULE-003,agam_2023_smfret_reliability,Agam 2023 protein smFRET reliability,AGAM-S04; AGAM-S05; AGAM-S06,artifact_exclusion,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G2,G1>G2>G5,A BVA or E–τ dynamic shift is a measurement-level deviation that needs photophysical and probe-artifact alternatives to be considered before it supports a conformational-dynamics claim.,"在 G1>G2>G5 的重点检查中要求 BVA/E-tau dynamic shift, photophysical alternatives, probe artifacts and timescale；若无法验证则走 PROBE_ARTIFACT_OR_PHOTOPHYSICS_UNRESOLVED。","BVA/E-tau dynamic shift, photophysical alternatives, probe artifacts and timescale",qualitative_diagnostic_matrix,no,not_applicable,no,multiple label pairs + BVA/E-tau/artifact controls,PROBE_ARTIFACT_OR_PHOTOPHYSICS_UNRESOLVED,a measurement-level deviation; no automatic structure or kinetics upgrade,supported_for_rule_candidate
C003-RULE-001,dimura_2020_fret_assisted_modeling,Dimura 2020 FRET-assisted modeling,DIM-S02; DIM-S03; DIM-S04,candidate_design,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G1>G3>G4,"FRET-guided structure modeling requires an explicit candidate ensemble, probe-aware forward model, informative-pair design and independent validation pairs.","在 G1>G3>G4 的重点检查中要求 candidate support, informative pair selection and complexity-aware fit definition；若无法验证则走 CANDIDATE_SUPPORT_UNVERIFIED。","candidate support, informative pair selection and complexity-aware fit definition",candidate_support_and_pair_selection,method_specific_or_calibration,paper_specific_method_dependent,yes,independent pair/design validation,CANDIDATE_SUPPORT_UNVERIFIED,FRET-guided design context; not a universal scalar score,supported_for_rule_candidate
C003-RULE-002,dimura_2020_fret_assisted_modeling,Dimura 2020 FRET-assisted modeling,DIM-S03; DIM-S05,reweighting,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G1>G3>G4,A high-quality FRET fit cannot repair a missing fold or state from the initial candidate support; failure should route to prior/support revision.,"在 G1>G3>G4 的重点检查中要求 RMP restraint, prior ensemble, fit objective and model uncertainty；若无法验证则走 PRIOR_OR_MODEL_UNRESOLVED。","RMP restraint, prior ensemble, fit objective and model uncertainty",forward_model_reweighting,method_specific_or_calibration,calibration_required,yes,held-out pair or orthogonal validation,PRIOR_OR_MODEL_UNRESOLVED,only within declared candidate support,supported_for_rule_candidate
C003-RULE-003,dimura_2020_fret_assisted_modeling,Dimura 2020 FRET-assisted modeling,DIM-S03; DIM-S04; DIM-S05,held_out_validation,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G4,G3>G4>G5,"Model uncertainty, reference-structure accuracy and agreement with FRET are separate quantities and must be reported separately.",在 G3>G4>G5 的重点检查中要求 training/guiding versus held-out pairs and complexity penalty；若无法验证则走 NO_HELDOUT_SUPPORT。,training/guiding versus held-out pairs and complexity penalty,held_out_cross_validation,method_specific_or_calibration,paper_specific_method_dependent,yes,independent held-out observables,NO_HELDOUT_SUPPORT,fit compatibility is not uniqueness or state discovery,supported_for_rule_candidate
C005-RULE-001,fuertes_2017_saxs_smfret_non_equivalence,Fuertes 2017 SAXS-smFRET non-equivalence,FUE-S01; FUE-S02; FUE-S04,estimand_non_equivalence,paper_states_plus_bounded_project_use,focus_dependencies_not_execution_order,G1,G0>G1>G2,"A SAXS-derived global radius of gyration and a terminal smFRET-derived dye distance are distinct observables with different spatial support, averaging and inverse-model assumptions; matching system and condition alone does not make them one direct numeric comparison.","在 G0>G1>G2 的重点检查中要求 observable, spatial support, time averaging and inverse-model semantics；若无法验证则走 ESTIMAND_OR_SUPPORT_MISMATCH。","observable, spatial support, time averaging and inverse-model semantics",qualitative_difference_preservation,no,not_applicable,yes,matched-condition definition and model audit,ESTIMAND_OR_SUPPORT_MISMATCH,SAXS-smFRET example; not a universal protein rule,supported_for_rule_candidate
