blind_id,core_correct,core_errors,overclaim,unnecessary_abstention,defect_detected,defect_downgraded,next_action,inapplicable_adoption,subquestion_coverage,units,rationale
V001,5,0,0,0,0,0,1,0,0,CCCCC,四个变化+0.0707/+2.2904/+1.0909/+1.1764均正确；明确apo、303.15K vs294K、n=1与4.3ms实验/MD时钟边界。
V002,3,1,1,1,0,0,1,0,0,ECCCM,用原始假大距离作接触强弱依据并断言“确实…形成…更频繁的局部近接触”，未发现/降级包装问题；Ki与Fig3正确，未把长尾直接叫状态转换；缺少坏表无法无坐标修理的边界。
V003,5,0,0,0,0,0,1,0,0,CCCCC,实际比较90 SAXS点与292/40 NOE上限；HN83.90%、methyl80%、最大methyl2.750Å与来源相符；明确拟合重用、r^-3与有限候选支持，无肯定不适用术语。
V004,4,0,0,1,0,0,1,0,2,MCCCC,首末四增量正确，apo、4.3ms和n=1/相关帧边界清楚；未给两轨迹分布中位数与重叠，覆盖幅度和顺序边界但未回答分布分离。
V005,4,0,0,1,0,0,1,0,2,MCCCC,四增量与窗口正确；apo/实验时钟、n=1和相关帧边界清楚；未比较全分布位置/重叠，覆盖幅度与顺序边界。
V006,3,1,0,1,0,0,1,0,0,CEMCC,9/1与18/1/1和0.5/2Å分类正确；p95=1.32但仅给开放组进入参照结果，漏ES04@188/ES15@690；正文有未清理BOTH_FAR问号片段，不改变主分类数。 封存前核对：19369是两组合计，误归开放组得到96.75%；实际18167/20020=90.74%，因此开放组核心数值单元改E。
V007,2,0,0,3,0,0,1,0,2,MMMCC,有5/4/1和开放0，却未汇总10everO或5+5+10；未实际做已给原生NOE对照。方向、锚定支持核心和物理转换明确区分，无速率/平衡升级。
V008,2,3,0,0,0,0,1,0,0,EECEC,闭合主分类误写10/10相对而非9/1；开放18+1+2自相矛盾并错写代表/合计；2Å闭合2/4/4而非3/5/2。三项核心数值错误；p95和两进入时刻正确。正文BME未验证状态为探索性适用性问题，不追加入冻结四词评分。
V009,5,0,0,0,0,0,1,0,3,CCCCC,用正确均值/范围而非中位数完成等价的分布位置与重叠比较；四增量、apo/4.3ms时钟与n=1边界正确，三个子问题都回答。报告朴素KS p值但明确不作为独立重复/平衡推断，保留为方法风险备注。
V010,2,1,1,1,0,0,1,0,0,CEMEC,SAXS真实数值计算成立；把NOE上限作点目标，以绝对误差/±0.5比例推出NOE吻合较弱，两个错误单元同属一项估计量错误。未明确同数据拟合与独立预测角色；有限权重/不确定与下一步清楚。
V011,3,0,0,2,0,0,1,0,2,CMMCC,10everO和5/4/1、开放0正确；有起始5O但未完整5+5+10；明确未完成原生NOE计算。方向/物理状态与有限窗清楚，覆盖方向和完整转变边界。
V012,3,0,0,2,0,0,1,0,0,CCMMC,主分类9/1与18/1/1正确；p95及ES04/15存在但漏188/690时刻；敏感性只报pooled比例而未完成7/19与闭合3/2/5轨迹分类。
