claim_id,claim,answer_locator,provenance,reproducible,input_checked,method_note,status,source_locator,claims_array_note
B2-01,"20+20 trajectories; 20–1020 ns; 1001 points, 1 ns stride; trajectory is statistical unit",AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Context,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: The delivered time axis and denominator agree.,VERIFIED,common/HSP90_SOURCE_AND_RUN_CARD.json; FIELD_DEFINITIONS.md,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-02,"Both signed readouts positive=open-directed, both negative=closed-directed; other=conflict",AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Direction definition,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Operational signs are distinct from paper-native state labels.,VERIFIED,common/FIELD_DEFINITIONS.md:7,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-03,Departure reference is first persistent direction; return is rule- and window-specific,AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Event semantics,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Does not prove a physical departure or absence of all returns.,VERIFIED,common/FIELD_DEFINITIONS.md:13-17,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-04,Open starts stable; closed starts stable/open-like/neither; current proxy differs from paper native NOE/structural definitions,AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Paper relationship,AUTHOR_REPORT,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Qualitative compatibility, not an exact reproduction.",VERIFIED,article pp.5–6 Fig.4; hidden/literature_claims.json:HPA-02/03/04,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-05,"No equilibrium populations, physical rates or unique mechanism established by these derived tables",AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Inference limits,FROM_CITED_FILE,NOT_ATTEMPTED,YES,"DEVELOPER_JUDGMENT: Bounded interpretation of a finite, seeded sample.",VERIFIED,hidden/grading_rubric.md:7; article p.6 non-ergodicity,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-06,Current packet excludes raw coordinate arrays/full native NOE inputs,AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Data availability,FROM_CITED_FILE,NOT_ATTEMPTED,YES,DEVELOPER_JUDGMENT: Packet-local limit; does not assert global data unavailable.,VERIFIED,common/SOURCE_INVENTORY.json:missing,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-07,"Proposed coordinate/NOE correspondence, persistent state definitions and uncertainty analysis",AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Next action,NOT_LOCATED,NOT_ATTEMPTED,NO,"DEVELOPER_JUDGMENT: Future proposals, not executed results; extra trajectories or forward model alone would not establish validated kinetics.",NOT_INDEPENDENTLY_VERIFIED,answer.md:next action,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-08,"5/20,4/20,1/20 closed departures versus0 open; no returns",AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Threshold results,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT: Recomputed raw signs and runs with original criterion.,VERIFIED,replay/code_02.py; hidden/reference_values.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-09,Closed8341C/6764O/4915conflict; open20020O;41.66/33.79/24.55%,AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Raw direction counts,FROM_AGENT_COMPUTATION,YES,YES,"DEVELOPER_JUDGMENT: Descriptive frame proportions only, not equilibrium populations.",VERIFIED,replay/code_02.py; direct_source_check.json,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
B2-10,10/20 closed-start trajectories contain at least one5-frame open-directed run;20/20 open-start,AGENT_RAW/HSP90_Q01_B_8813dc0f/answer.md; section matching Persistent open run,FROM_AGENT_COMPUTATION,YES,YES,DEVELOPER_JUDGMENT: Different question from departure relative to first persistent direction; useful descriptive addition in analysis section.,VERIFIED,replay/code_01.py stdout before error; code_02.py full run listing,Full final prose scored regardless of claims[] membership; exact submitted claims saved separately.
