rule_id,group,question,layer,applies_when,acts_through,must_hold,claim_limit,stop,source,finding,status,evidence,v1_use
S-01,G1,"Can a population, a transition or a rate be stated?",C analysis,A mean or a state fraction is computed from MD frames.,"OP3, to be rebuilt as block averaging per observable.",The uncertainty is estimated for that observable from block averages or independent runs; frames are not independent samples.,The fraction with its uncertainty and window. No equilibrium population unless S-02 holds.,UNCERTAINTY_NOT_ESTIMABLE,Grossfield et al. 2019,"Uncertainty belongs to a specific observable; correlated frames are not independent observations; block averaging, resampling and independent runs estimate it.",Planned. The current OP3 uses an uncalibrated 0.05 window test instead.,data/operators/results/OP3.json,
S-02,G1,"Can a population, a transition or a rate be stated?",D claim limit,A population ratio is read from MD runs.,"The return count from OP4, used as a gate on OP3.","Runs cross between the states in both directions, more than once.","Without returns, residence and one-way events only.",POPULATION_NOT_ESTIMABLE,Henot et al. 2022; Grossfield et al. 2019; project criterion of 28 July 2026,The authors state that their runs are not ergodic. A run that changes state once and stays gives no population.,"In use. 0 of 40 HSP90 runs return, so no population is stated.",data/operators/results/OP4.json,
S-03,G1,"Can a population, a transition or a rate be stated?",A framing,A run is called converged or equilibrated.,"None yet (for example, per-residue fluctuations tested separately from domain states).","The observable and the state definition are named, and convergence is tested for each.",A run can be converged for local fluctuations and not for domain states.,CONVERGENCE_OBSERVABLE_UNSPECIFIED,Grossfield et al. 2019; project criterion of 28 July 2026,"Fast local variables can decorrelate within a run while slow domain states do not, so one effective sample size does not fit a whole trajectory.",Not implemented.,,
S-04,G1,"Can a population, a transition or a rate be stated?",D claim limit,A rate or time scale is read from MD.,None.,"A validated kinetic model: implied time scales stable with lag time, a Chapman–Kolmogorov test, and enough transitions.",Otherwise event counts and times only.,RATE_NOT_ESTIMABLE,Prinz et al. 2011,"A Markov model of the kinetics has to pass validation, for example stable implied time scales and Chapman–Kolmogorov tests, before its rates are used.",Not implemented; no case reports a rate.,,
C006-RULE-002,G1,"Can a population, a transition or a rate be stated?",D claim limit,Weights from reweighting or refinement are read as populations.,Claim limit on the nanodisc weights and on OP3.,,"Weights depend on the candidates, the prior and the error model; they are not thermodynamic populations.",PRIOR_DOMINANCE_OR_MISSING_STATE,Shevchuk and Hub 2017,"Posterior weights can test whether a small-state representation is plausible, but they remain condition- and prior-dependent.",In use as a claim limit.,data/nanodisc/,C
C010-RULE-001,G1,"Can a population, a transition or a rate be stated?",A framing,A transient or minor state is claimed.,"Structure of the HSP90 trust table: existence (OP1, OP2), population (OP3) and time scale (OP4) are separate rows.",,"Existence, population, time scale and function are separate claims.",CLAIM_LEVEL_UNSUPPORTED,Sanabria et al. 2020,"A transient-state claim is strongest when several label pairs, time scales, global models and orthogonal probes support the same state.",In use in the trust table.,data/operators/D1_TABLE_HSP90.md,A
P-01,G2,"Is a state reached, or only approached?",C analysis,A direction is called from the difference between two reference readouts.,OP2 NOE reference crosswalk.,The absolute readout for a state is checked before a run is called near that state.,A sustained open direction is a direction. Agreement needs the open-state violation within tolerance.,RELATIVE_ONLY,"This project, HSP90 NOE crosswalk, 10 September 2026","In run ES15 the mean open-state violation falls from 9.07 Å (first 100 points) to 1.12 Å (last 100), yet only 38.5 % of its open-direction points are within 1 Å.",Operator in use. Control passed: 18 of 20 open-start runs agree at 1 Å.,data/operators/results/OP2.json; data/hsp90/noe_crosswalk_per_trajectory.tsv,
P-05,G2,"Is a state reached, or only approached?",B data check,A neighbourhood around a reference ensemble is defined.,OP5 excursions and OP6 reference neighbourhoods.,"The radius is measured in the same quantity as the frame distance, and it passes a positive control (open-start runs mostly inside the open neighbourhood) and a negative control.",None until both controls pass.,REFERENCE_DEFINITION_FAILED_CONTROL,"This project, OP6 result, 11 September 2026; the general lesson is C005-RULE-001","A radius from the spread of the NMR models (1.35 Å) put 99.99 % of open-start frames outside the open reference, although 18 of 20 open-start runs agree with the open NOEs.",Not met. OP5 and OP6 are withdrawn.,data/operators/results/OP6.json,
C006-RULE-003,G2,"Is a state reached, or only approached?",D claim limit,"A refinement or reweighting works over a fixed set of candidate structures, or a frame lies outside every reference.",Claim limit on the nanodisc result and on OP5.,,Refinement cannot create a state absent from the candidates; a frame outside the references is not a new state.,MISSING_STATE_SUPPORT,Shevchuk and Hub 2017,"If the candidates omit a state, Bayesian SAXS refinement can express uncertainty within the wrong set but cannot create the missing state.",In use as a claim limit.,,D
C010-RULE-003,G2,"Is a state reached, or only approached?",D claim limit,A residual suggests a state that no reference contains.,Claim limit on OP5.,,A residual that points to an unknown state does not give that state's structure.,FUNCTIONAL_LINK_UNSUPPORTED,Sanabria et al. 2020,FRET-to-structure screening can expose an unknown-state residual but does not determine its coordinates without more evidence.,Claim limit; OP5 is withdrawn.,,D
